Energias,ZAPA,Gst ganado,Arreglo Gst,Coste de caja gst,GMT,Total GST ,Caja mb,HP%,Obtencion caja,Upgrades,TOTAL FECHA GST,TOTAL USDT FECHA,Fecha,Aclaraciones de Upgrades,Success LV1,Success LV2,Success LV3,Success LV4,Porcentajes ,lv1,lv2,lv3,lv4,,OK,gemas l1,gemaslv2,gemas lv3,gemas lv4
17,UNC-WL-432,51.8,5.7,257,,-210.9,6,65.22,6Rlv1 + 1Llv2,50,-260.9,4,8/12/22,3Rlv1 OK,YES,,,,,,,,,,,,,,
10,UNC-WEG-168,153,9.79,,,143.21,F,95.18,,100,43.21,,9/12/22,3Rlv2 OK,NO,YES,,,,,,,,,,,,,
22,UNC-WL-432,64.2,8.5,259,,-203.3,6,63.42,6Elv1 + 2Elv2,100,-303.3,6.2,10/12/22,3Rlv2 fail,NO,,,,,,,,,,,,,,
24,UNC-WL-432,67.1,9.5,270,,-212.4,6,61.82,6Clv1 + 2Rlv2,100,-312.4,5,11/12/22,3Rlv1 fail,NO,,,,,,,,,,,,,,
20,UNC-WEG-168,300,26,,,274,F,93.98,,50,224,,12/12/22,3Llv1 fail,NO,,,,,,,,,,,,,,
20,UNC-WEG-168,300,26,,,274,F,92.78,,50,224,,13/12/22,3Llv1 OK,YES,,,,,,,,,,,,,,
10,UNC-WEG-168,300,9.79,,,290.21,F,92.28,,100,190.21,,14/12/22,3Llv2 fail,,NO,,,,,,,,,,,,,
10,UNC-WEG-168,300,9.79,,,290.21,F,91.71,,50,240.21,,15/12/22,3Clv1 fail,NO,,,,,,,,,,,,,,
10,UNC-WEG-168,300,9.79,,,290.21,F,91.01,,50,240.21,,16/12/22,3Clv1 fail,NO,,,,,,,,,,,,,,
4.5,UNC-WEG-168,139,4.5,,,134.5,F,90.61,,50,84.5,,17/12/22,3Rlv1 fail,NO,,,,,,,,,,,,,,
21,UNC-WL-432,143.47,8.5,265,,-130.03,6,60.02,6Llv1 + 2Elv2,50,-180.03,4.6,18/12/22,3Rlv1 ok,YES,,,,,,,,,,,,,,
21,UNC-WL-432,143.47,8.5,283,,-148.03,6,58.27,6Rlv1 + 2Clv2,100,-248.03,14.5,19/12/22,3Elv2 Fail,,NO,,,,,,,,,,,,,
20,WEGMT-889,,30,,6,-30,F,97.72,,100,-130,,20/12/22,3Rlv2 ok,,YES,,,,,,,,,,,,,
20,WEGMT-889,,30,,6,-30,F,97.32,,50,-80,,21/12/22,3Clv1 fail,NO,,,,,,,,,,,,,,
17,UNC-WL-432,102.2,5.7,275,,-178.5,6,55.65,6Rlv1 + 2Rlv2 ,50,-228.5,,22/12/22,3Clv1 fail,NO,,,,,,,,,,,,,,
10,UNC-WEG-168,300,9.79,,,290.21,F,89.11,,,290.21,,23/12/22,,,,,,,,,,,,,,,,
10,UNC-WEG-168,300,9.79,,,290.21,F,88.51,,,290.21,,24/12/22,,,,,,,,,,,,,,,,
4,WEGMT-889,,10,,2,-10,F,97.01,,,-10,,24/12/22,,,,,,,,,,,,,,,,
10,UNC-WEG-168,300,9.79,,,290.21,F,87.96,,,290.21,,25/12/22,,,,,,,,,,,,,,,,
7,WEGMT-889,,12,,6.5,-12,F,96.51,,,-12,,25/12/22,,,,,,,,,,,,,,,,
10,UNC-WEG-168,300,9.79,,,290.21,F,87.26,,,290.21,,26/12/22,,,,,,,,,,,,,,,,
7,WEGMT-889,,12,,7,-12,F,96.21,,,-12,,26/12/22,,,,,,,,,,,,,,,,
10,UNC-WEG-168,300,9.79,,,290.21,F,86.76,,,290.21,,27/12/22,,,,,,,,,,,,,,,,
10,WEGMT-889,,15,,7,-15,F,95.91,,,-15,,27/12/22,,,,,,,,,,,,,,,,
18,UNC-WL-432,106,5.7,266,,-165.7,6,54.18,6Elv1 + 2Llv2,,-165.7,8,28/12/22,,,,,,,,,,,,,,,,
7,UNC-WEG-168,180,7.7,,,172.3,F,86.38,,100,72.3,,28/12/22,3Elv2 Fail,,NO,,,,,,,,,,,,,
15,UNC-WL-432,87.39,9.79,261,,-183.4,6,53.18,6Clv1 + 2Rlv2 + 1Elv3,100,-283.4,20,29/12/22,3Llv2 Fail,,NO,,,,,,,,,,,,,
5,UNC-WEG-168,172,6,,,166,F,85.98,,,166,11,29/12/22,,,,,,,,,,,,,,,,
15,UNC-WL-432,85.39,4.2,272,,-190.81,6,51.71,6Rlv1 + 1Clv2,,-190.81,14,30/12/22,,,,,,,,,,,,,,,,
15,UNC-WL-432,83.93,4.2,261,,-181.27,6,50.45,6Llv1 + 1Llv2,,-181.27,4,31/12/22,,,,,,,,,,,,,,,,
20,UNC-WEG-168,269,24.4,,,244.6,F,84.81,,,244.6,,1/1/23,,,,,,,,,,,,,,,,
20,UNC-WEG-168,269,24.4,,,244.6,F,83.75,,,244.6,,2/1/23,,,,,,,,,,,,,,,,
20,UNC-WEG-168,269,24.4,,,244.6,F,82.71,,50,194.6,,3/1/23,3Llv1 OK,YES,,,,,,,,,,,,,,
20,UNC-WEG-168,269,24.4,,,244.6,F,81.64,,100,144.6,,4/1/23,3Rlv2 FAIL,,NO,,,,,,,,,,,,,
20,WEGMT-889,,30,,12.8,-30,F,95.11,,50,-80,,5/1/23,3Clv1 Fail,NO,,,,,,,,,,,,,,
20,WEGMT-889,,30,,13.5,-30,F,94.29,,50,-80,,6/1/23,3Clv1 OK,YES,,,,,,,,,,,,,,
17,WL-925,159.3,20,100,,39.3,5,89.32,3Elv1 + 1Llv2 ,100,-60.7,5.2,7/1/23,3Llv2 OK,,YES,,,,,,,,,,,,,
17,UNC-WL-432,48.7,4.8,264,,-220.1,6,49.01,6Rlv1 + 2Rlv2,,-220.1,4,8/1/23,,,,,,,,,,,,,,,,
17,UNC-WL-432,50.2,4.8,278,,-232.6,6,47.65,6Llv1 + 2Rlv2 + 1Rlv3,50,-282.6,11,9/1/23,3Llv1 OK,YES,,,,,,,,,,,,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,80.59,,50,228.2,,10/1/23,3Llv1 F,NO,,,,,,,,,,,,,,
17,UNC-WL-432,48.1,4.8,107,,-63.7,5,45.77,3Llv1 + 1Clv2,100,-163.7,10,11/1/23,3Llv2 OK,,YES,,,,,,,,,,,,,
17,UNC-WEG-168,300,24.4,,,275.6,F,79.51,,100,175.6,,12/1/23,3Llv2 F,,NO,,,,,,,,,,,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,78.43,,,278.2,,13/1/23,,,,,,,,,,,,,,,,
17,UNC-WL-432,47.8,4.8,264,,-221,6,44.86,6Elv1 + 2Elv2,100,-321,7,14/1/23,3Elv2 OK,,YES,,,,,,,,,,,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,77.37,,100,178.2,,15/1/23,3Elv2 F,,NO,,,,,,,,,,,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,76.33,,,278.2,,16/1/23,,,,,,,,,,,,,,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,75.29,,50,228.2,,17/1/23,3Llv1 OK,YES,,,,,,,,,,,,,,
11.3,UNC-WL-432,35.6,2.8,107,,-74.2,5,43.98,3Rlv1 + 1Rlv2,100,-174.2,2,18/1/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
19,UNC-WL-432,52.7,5.7,263,,-216,6,42.38,6Elv1 + 2Rlv2,200,-416,5,19/1/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
11.2,UNC-WL-432,32.2,2.8,108,,-78.6,5,40.88,3Elv1 + 1Elv2,100,-178.6,4,20/1/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
17,UNC-WEG-168,299.7,21.8,,,277.9,F,74.23,,100,177.9,,21/1/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,73.18,,100,178.2,,22/1/23,3Rlv2 F,,NO,,,,,,,,,,,,,
